subject,opponent,matchup,side2_count,side3_count,tape_runs,tape_mean,tape_min,tape_max,simulation_runs,simulation_mean,simulation_min,simulation_max,absolute_mean_delta,tape_band_error,wrong_stable_winner,unresolved_runs
elite_rattan_archer,arbalester,Elite Rattan Archer vs Arbalester,16,21,1,-75.69444444444444,-75.69444444444444,-75.69444444444444,5,-71.55555555555556,-72.22222222222223,-70.83333333333333,4.138888888888886,4.138888888888886,false,0
elite_rattan_archer,champion,Elite Rattan Archer vs Champion,14,21,1,44.76190476190476,44.76190476190476,44.76190476190476,5,6.666666666666667,6.666666666666667,6.666666666666667,38.095238095238095,38.095238095238095,false,0
elite_rattan_archer,elite_elephant,Elite Rattan Archer vs Elite Battle Elephant,21,12,1,84.11458333333333,84.11458333333333,84.11458333333333,5,83.17708333333333,83.17708333333333,83.17708333333333,0.9375,0.9375,false,0
elite_rattan_archer,heavy_cav_archer,Elite Rattan Archer vs Heavy Cavalry Archer,21,18,1,-80.21164021164022,-80.21164021164022,-80.21164021164022,5,-81.56613756613757,-82.01058201058201,-81.05820105820106,1.3544973544973544,1.3544973544973544,false,0
elite_rattan_archer,heavy_scorpion,Elite Rattan Archer vs Heavy Scorpion,21,13,4,-33.33333333333333,-38.095238095238095,-30.423280423280424,5,-20.634920634920636,-28.571428571428573,-16.137566137566136,12.698412698412692,9.788359788359788,false,0
elite_rattan_archer,paladin,Elite Rattan Archer vs Paladin,21,14,1,67.3015873015873,67.3015873015873,67.3015873015873,5,65.23809523809524,65.23809523809524,65.23809523809524,2.0634920634920633,2.0634920634920633,false,0
elite_shotel_warrior,arbalester,Arbalester vs Elite Shotel Warrior,21,20,1,-90.71428571428571,-90.71428571428571,-90.71428571428571,5,-69.64285714285714,-69.64285714285714,-69.64285714285714,21.07142857142857,21.07142857142857,false,0
elite_shotel_warrior,champion,Elite Shotel Warrior vs Champion,17,21,4,24.1156462585034,11.700680272108844,41.08843537414966,5,30.884353741496597,22.17687074829932,41.36054421768708,6.768707482993197,0,false,0
elite_shotel_warrior,elite_elephant,Elite Shotel Warrior vs Elite Battle Elephant,21,9,4,44.583333333333336,35,56.111111111111114,5,50.11111111111111,46.111111111111114,53.888888888888886,5.5277777777777715,0,false,0
elite_shotel_warrior,heavy_cav_archer,Heavy Cavalry Archer vs Elite Shotel Warrior,15,21,1,65.14285714285714,65.14285714285714,65.14285714285714,5,41.352380952380955,34.95238095238095,46.76190476190476,23.790476190476184,23.790476190476184,false,0
elite_shotel_warrior,heavy_scorpion,Heavy Scorpion vs Elite Shotel Warrior,10,21,1,57.333333333333336,57.333333333333336,57.333333333333336,5,38.4,30.476190476190474,43.80952380952381,18.933333333333337,18.933333333333337,false,0
elite_shotel_warrior,paladin,Elite Shotel Warrior vs Paladin,21,11,4,-24.476190476190474,-36,-14.666666666666666,5,12.964502164502164,-11.238095238095237,26.91919191919192,37.44069264069264,27.63116883116883,true,0
elite_tarkan,arbalester,Arbalester vs Elite Tarkan,21,12,4,46.39705882352941,39.509803921568626,56.372549019607845,5,52.94117647058823,52.94117647058823,52.94117647058823,6.544117647058819,0,false,0
elite_tarkan,champion,Elite Tarkan vs Champion,11,21,4,31.173469387755098,27.891156462585034,34.42176870748299,5,31.646258503401363,13.333333333333334,44.21768707482993,0.4727891156462647,0,false,0
elite_tarkan,elite_elephant,Elite Tarkan vs Elite Battle Elephant,20,14,1,58.482142857142854,58.482142857142854,58.482142857142854,5,59.392857142857146,56.674107142857146,62.20982142857143,0.9107142857142918,0.9107142857142918,false,0
elite_tarkan,heavy_cav_archer,Heavy Cavalry Archer vs Elite Tarkan,21,18,1,56.5359477124183,56.5359477124183,56.5359477124183,5,30.267973856209153,29.215686274509803,32.3202614379085,26.267973856209146,26.267973856209146,false,0
elite_tarkan,heavy_scorpion,Heavy Scorpion vs Elite Tarkan,16,20,1,73.48529411764706,73.48529411764706,73.48529411764706,5,60.82352941176471,56.60294117647059,68.33823529411765,12.661764705882348,12.661764705882348,false,0
elite_tarkan,paladin,Elite Tarkan vs Paladin,20,17,4,19.62091503267974,-5.176470588235294,35.62091503267974,100,35.16013071895425,10.130718954248366,54.90196078431372,15.53921568627451,0,false,0
elite_teutonic_knight,arbalester,Arbalester vs Elite Teutonic Knight,21,14,1,-73.33333333333333,-73.33333333333333,-73.33333333333333,5,-78.0952380952381,-78.0952380952381,-78.0952380952381,4.761904761904773,4.761904761904773,false,0
elite_teutonic_knight,champion,Elite Teutonic Knight vs Champion,12,21,1,-60.22727272727273,-60.22727272727273,-60.22727272727273,5,-62.27272727272727,-65.53030303030303,-59.84848484848485,2.0454545454545467,2.0454545454545467,false,0
elite_teutonic_knight,elite_elephant,Elite Teutonic Knight vs Elite Battle Elephant,21,13,1,-46.53679653679654,-46.53679653679654,-46.53679653679654,5,-42.61904761904762,-46.6991341991342,-40.0974025974026,3.9177489177489164,3.9177489177489164,false,0
elite_teutonic_knight,heavy_cav_archer,Heavy Cavalry Archer vs Elite Teutonic Knight,21,21,1,-57.142857142857146,-57.142857142857146,-57.142857142857146,5,-71.42857142857143,-76.19047619047619,-66.66666666666667,14.285714285714285,14.285714285714285,false,0
elite_teutonic_knight,heavy_scorpion,Heavy Scorpion vs Elite Teutonic Knight,14,21,4,50.89285714285714,40.23809523809524,63.57142857142857,5,48.714285714285715,46.19047619047619,55,2.1785714285714235,0,false,0
elite_teutonic_knight,paladin,Elite Teutonic Knight vs Paladin,21,15,1,-79.43722943722943,-79.43722943722943,-79.43722943722943,5,-62.987012987012996,-68.83116883116882,-59.95670995670996,16.450216450216438,16.450216450216438,false,0
elite_throwing_axeman,arbalester,Elite Throwing Axeman vs Arbalester,21,21,4,-19.761904761904763,-24.761904761904763,-13.741496598639456,5,-35.238095238095234,-41.08843537414966,-29.65986394557823,15.476190476190471,10.476190476190471,false,0
elite_throwing_axeman,champion,Elite Throwing Axeman vs Champion,18,21,1,-67.77777777777777,-67.77777777777777,-67.77777777777777,5,-82.22222222222223,-82.22222222222223,-82.22222222222223,14.444444444444457,14.444444444444457,false,0
elite_throwing_axeman,elite_elephant,Elite Throwing Axeman vs Elite Battle Elephant,21,9,4,-39.285714285714285,-51.904761904761905,-28.333333333333332,5,-55.23809523809524,-55.23809523809524,-55.23809523809524,15.952380952380956,3.3333333333333357,false,0
elite_throwing_axeman,heavy_cav_archer,Heavy Cavalry Archer vs Elite Throwing Axeman,14,21,1,51.42857142857143,51.42857142857143,51.42857142857143,5,41.61904761904762,37.61904761904762,43.80952380952381,9.80952380952381,9.80952380952381,false,0
elite_throwing_axeman,heavy_scorpion,Elite Throwing Axeman vs Heavy Scorpion,21,10,4,-32.74659863945578,-37.48299319727891,-23.843537414965986,5,-43.33333333333333,-49.523809523809526,-38.46938775510204,10.586734693877546,5.85034013605442,false,0
elite_throwing_axeman,paladin,Elite Throwing Axeman vs Paladin,21,11,1,-64.76190476190476,-64.76190476190476,-64.76190476190476,5,-61.904761904761905,-61.904761904761905,-61.904761904761905,2.857142857142854,2.857142857142854,false,0
elite_war_wagon,arbalester,Elite War Wagon vs Arbalester,10,21,1,-73.5,-73.5,-73.5,5,-65.32000000000001,-66.4,-63.9,8.179999999999993,8.179999999999993,false,0
