matchup,ratio,ranged_count,melee_count,tape_mean,tape_min,tape_max,simulation_mean,simulation_min,simulation_max,mean_delta,absolute_mean_delta,tape_band_error,tape_band_coverage,wrong_winner_runs,unresolved_runs,archive,zip_sha256
Elite Skirmisher vs Champion,15v20,15,20,86.68571428571428,83.14285714285714,88.42857142857143,81.14285714285714,81.14285714285714,81.14285714285714,-5.5428571428571445,5.5428571428571445,2,0,0,0,aoe2_golden_kiting_eliteskirmvschampion_2026-08-06.zip,974A951AD0E9AE211A0BF40913EF6028187732404C6F8514E637C64B79D54716
Elite Skirmisher vs Champion,20v15,20,15,58.8952380952381,53.904761904761905,66.85714285714286,29.142857142857146,29.142857142857142,29.142857142857142,-29.752380952380953,29.752380952380953,24.76190476190476,0,0,0,aoe2_golden_kiting_eliteskirmvschampion_2026-08-06.zip,974A951AD0E9AE211A0BF40913EF6028187732404C6F8514E637C64B79D54716
Elite Skirmisher vs Champion,20v20,20,20,80.14285714285715,76.57142857142857,83.42857142857143,65.14285714285714,65.14285714285714,65.14285714285714,-15.000000000000014,15.000000000000014,11.42857142857143,0,0,0,aoe2_golden_kiting_eliteskirmvschampion_2026-08-06.zip,974A951AD0E9AE211A0BF40913EF6028187732404C6F8514E637C64B79D54716
Elite Skirmisher vs Champion,5v10,5,10,91.88571428571429,90.85714285714286,92.28571428571429,90,90,90,-1.8857142857142861,1.8857142857142861,0.8571428571428612,0,0,0,aoe2_golden_kiting_eliteskirmvschampion_2026-08-06.zip,974A951AD0E9AE211A0BF40913EF6028187732404C6F8514E637C64B79D54716
Elite Skirmisher vs Elite Battle Elephant,10v5,10,5,94.8875,93.4375,96.4375,94.25,94.25,94.25,-0.6375000000000028,0.6375000000000028,0,1,0,0,aoe2_golden_kiting_eliteskirmvselephant_2026-08-06.zip,12984A63F05BDCFB3242C46CD45144D2E6B8D304C7AF15C951CBB41652095EB6
Elite Skirmisher vs Elite Battle Elephant,15v20,15,20,99.09375,98.9375,99.25,98.203125,98.203125,98.203125,-0.890625,0.890625,0.734375,0,0,0,aoe2_golden_kiting_eliteskirmvselephant_2026-08-06.zip,12984A63F05BDCFB3242C46CD45144D2E6B8D304C7AF15C951CBB41652095EB6
Elite Skirmisher vs Elite Battle Elephant,20v15,20,15,97.1,96.35416666666667,97.75,96.35416666666667,96.35416666666667,96.35416666666667,-0.7458333333333229,0.7458333333333229,0,1,0,0,aoe2_golden_kiting_eliteskirmvselephant_2026-08-06.zip,12984A63F05BDCFB3242C46CD45144D2E6B8D304C7AF15C951CBB41652095EB6
Elite Skirmisher vs Elite Battle Elephant,20v20,20,20,98.48125,98.1875,98.65625,97.40625,97.40625,97.40625,-1.0750000000000028,1.0750000000000028,0.78125,0,0,0,aoe2_golden_kiting_eliteskirmvselephant_2026-08-06.zip,12984A63F05BDCFB3242C46CD45144D2E6B8D304C7AF15C951CBB41652095EB6
Elite Skirmisher vs Elite Battle Elephant,5v10,5,10,99.20625,99.09375,99.28125,98.96875,98.96875,98.96875,-0.23749999999999716,0.23749999999999716,0.125,0,0,0,aoe2_golden_kiting_eliteskirmvselephant_2026-08-06.zip,12984A63F05BDCFB3242C46CD45144D2E6B8D304C7AF15C951CBB41652095EB6
Elite Skirmisher vs Elite Fire Lancer,10v5,10,5,59.811764705882354,52.705882352941174,63.294117647058826,40.705882352941174,40.705882352941174,40.705882352941174,-19.10588235294118,19.10588235294118,12,0,0,0,aoe2_golden_kiting_eliteskirmvsfirelancer_2026-08-06.zip,93ABC691DEE14824AEA6D4154EC69231477E6A246E60D2D6E117FC6FCFE975D1
Elite Skirmisher vs Elite Fire Lancer,15v20,15,20,90.98823529411764,89.29411764705883,92,91.47058823529412,91.47058823529412,91.47058823529412,0.4823529411764724,0.4823529411764724,0,1,0,0,aoe2_golden_kiting_eliteskirmvsfirelancer_2026-08-06.zip,93ABC691DEE14824AEA6D4154EC69231477E6A246E60D2D6E117FC6FCFE975D1
Elite Skirmisher vs Elite Fire Lancer,20v15,20,15,76.53333333333333,70.3529411764706,79.45098039215686,61.96078431372549,61.96078431372549,61.96078431372549,-14.572549019607841,14.572549019607841,8.392156862745104,0,0,0,aoe2_golden_kiting_eliteskirmvsfirelancer_2026-08-06.zip,93ABC691DEE14824AEA6D4154EC69231477E6A246E60D2D6E117FC6FCFE975D1
Elite Skirmisher vs Elite Fire Lancer,20v20,20,20,88.61176470588235,87.29411764705883,89.6470588235294,76.47058823529412,76.47058823529412,76.47058823529412,-12.141176470588235,12.141176470588235,10.82352941176471,0,0,0,aoe2_golden_kiting_eliteskirmvsfirelancer_2026-08-06.zip,93ABC691DEE14824AEA6D4154EC69231477E6A246E60D2D6E117FC6FCFE975D1
Elite Skirmisher vs Elite Fire Lancer,5v10,5,10,94.77647058823531,94.11764705882354,95.29411764705883,97.88235294117646,97.88235294117646,97.88235294117646,3.1058823529411512,3.1058823529411512,2.588235294117638,0,0,0,aoe2_golden_kiting_eliteskirmvsfirelancer_2026-08-06.zip,93ABC691DEE14824AEA6D4154EC69231477E6A246E60D2D6E117FC6FCFE975D1
Elite Skirmisher vs Elite Steppe Lancer,10v5,10,5,89.88,89.6,90.4,88.2,88.2,88.2,-1.6799999999999926,1.6799999999999926,1.3999999999999915,0,0,0,aoe2_golden_kiting_eliteskirmvssteppe_2026-08-06.zip,9500E4703ACB48273C83D71CE4313820BA92391EE80CAF2882F92AF12B46414B
Elite Skirmisher vs Elite Steppe Lancer,15v20,15,20,97.91,97.45,98.3,96.85,96.85,96.85,-1.0600000000000023,1.0600000000000023,0.6000000000000085,0,0,0,aoe2_golden_kiting_eliteskirmvssteppe_2026-08-06.zip,9500E4703ACB48273C83D71CE4313820BA92391EE80CAF2882F92AF12B46414B
Elite Skirmisher vs Elite Steppe Lancer,20v15,20,15,93.37333333333333,91.86666666666666,94.4,90.93333333333334,90.93333333333334,90.93333333333334,-2.4399999999999977,2.4399999999999977,0.9333333333333229,0,0,0,aoe2_golden_kiting_eliteskirmvssteppe_2026-08-06.zip,9500E4703ACB48273C83D71CE4313820BA92391EE80CAF2882F92AF12B46414B
Elite Skirmisher vs Elite Steppe Lancer,20v20,20,20,96.97,96.45,97.65,94.9,94.9,94.9,-2.069999999999993,2.069999999999993,1.5499999999999972,0,0,0,aoe2_golden_kiting_eliteskirmvssteppe_2026-08-06.zip,9500E4703ACB48273C83D71CE4313820BA92391EE80CAF2882F92AF12B46414B
Elite Skirmisher vs Elite Steppe Lancer,5v10,5,10,98.16,98.1,98.3,98.4,98.4,98.4,0.2400000000000091,0.2400000000000091,0.10000000000000853,0,0,0,aoe2_golden_kiting_eliteskirmvssteppe_2026-08-06.zip,9500E4703ACB48273C83D71CE4313820BA92391EE80CAF2882F92AF12B46414B
Elite Skirmisher vs Paladin,10v5,10,5,94.15555555555555,93.77777777777777,94.66666666666667,92.66666666666667,92.66666666666667,92.66666666666667,-1.48888888888888,1.48888888888888,1.1111111111111,0,0,0,aoe2_golden_kiting_eliteskirmvspaladin_2026-08-06.zip,631C21349C4ECE89A9DB997C2AD8873CA98B04EC4DB89EACF9BAC65EEE589E1F
